epic_id,domain,bounded_context,bounded_context_name,title,sprint,owner_role,issue_id,dependencies,gate,file
EPIC-093,GEO,BC-006,Georreferenciamento,"contratos de CRS, espaços de coordenadas, ordem de eixos, precisão/unidades e validade raster",SPRINT-007,Geoprocessamento,ISSUE-0093,EPIC-044;EPIC-047;EPIC-063;EPIC-092,G1/G3/G4,EPIC-093-contratos-de-crs-espacos-de-coordenadas-ordem-de-eixos-precisao-unidad.md
EPIC-094,GEO,BC-006,Georreferenciamento,Registry e transformações de CRS,SPRINT-007,Geoprocessamento,ISSUE-0094,,G3/G4,EPIC-094-registry-e-transformacoes-de-crs.md
EPIC-095,GEO,BC-006,Georreferenciamento,Validade raster explícita,SPRINT-007,Geoprocessamento,ISSUE-0095,,G3/G4,EPIC-095-validade-raster-explicita.md
EPIC-096,GEO,BC-006,Georreferenciamento,Seletor e validador de CRS,SPRINT-007,Geoprocessamento,ISSUE-0096,,G3/G4,EPIC-096-seletor-e-validador-de-crs.md
EPIC-097,GEO,BC-006,Georreferenciamento,"Grade, resolução e reamostragem",SPRINT-007,Geoprocessamento,ISSUE-0097,,G3/G4,EPIC-097-grade-resolucao-e-reamostragem.md
EPIC-098,GEO,BC-008,Mosaico Relativo,Mosaico relativo de recuperação,SPRINT-007,Geoprocessamento,ISSUE-0098,,G3/G4/G7,EPIC-098-mosaico-relativo-de-recuperacao.md
EPIC-099,GEO,BC-008,Mosaico Relativo,Ancoragem e recuperação a partir do mosaico relativo,SPRINT-008,Geoprocessamento,ISSUE-0099,,G4,EPIC-099-ancoragem-e-recuperacao-a-partir-do-mosaico-relativo.md
EPIC-100,GEO,BC-008,Mosaico Relativo,Workspace e lifecycle de âncoras,SPRINT-008,Geoprocessamento,ISSUE-0100,,G4/G7,EPIC-100-workspace-e-lifecycle-de-ancoras.md
EPIC-101,GEO,BC-008,Mosaico Relativo,Relative Mosaic Verifier e promotion lifecycle,SPRINT-008,Geoprocessamento,ISSUE-0101,,G4/G7,EPIC-101-relative-mosaic-verifier-e-promotion-lifecycle.md
EPIC-102,GEO,BC-008,Mosaico Relativo,"Relatórios, visualização e exports do mosaico relativo",SPRINT-008,Geoprocessamento,ISSUE-0102,,G3/G4/G7,EPIC-102-relatorios-visualizacao-e-exports-do-mosaico-relativo.md
EPIC-103,GEO,BC-008,Mosaico Relativo,"Budgets, persistência e materialização do mosaico relativo",SPRINT-008,Geoprocessamento,ISSUE-0103,,G3/G4/G7,EPIC-103-budgets-persistencia-e-materializacao-do-mosaico-relativo.md
EPIC-104,JOB,BC-010,Orquestração de Jobs e Recursos,"Snapshots, replay e bundles do scheduler",SPRINT-004,Backend,ISSUE-0104,,G1/G7,EPIC-104-snapshots-replay-e-bundles-do-scheduler.md
EPIC-105,DAT,BC-013,"Artifacts, Proveniência e Lifecycle",Registry de schemas e compatibilidade de artifacts,SPRINT-010,Backend,ISSUE-0105,,G3/G7,EPIC-105-registry-de-schemas-e-compatibilidade-de-artifacts.md
EPIC-106,REL,BC-015,"Release, Instalação e Supply Chain","Migrations compatíveis, upgrade e downgrade seguro",SPRINT-012,DevOps,ISSUE-0106,,G7,EPIC-106-migrations-compativeis-upgrade-e-downgrade-seguro.md
EPIC-107,REL,BC-015,"Release, Instalação e Supply Chain",Controlador e rollout coordenado de upgrades,SPRINT-012,DevOps,ISSUE-0107,,G7,EPIC-107-controlador-e-rollout-coordenado-de-upgrades.md
EPIC-108,REL,BC-015,"Release, Instalação e Supply Chain","Instalador, bootstrap, readiness e suporte diagnóstico",SPRINT-012,DevOps,ISSUE-0108,,G1/G7,EPIC-108-instalador-bootstrap-readiness-e-suporte-diagnostico.md
EPIC-109,PUB,BC-015,"Release, Instalação e Supply Chain","Licenciamento, contribuição, rights manifests e citação",SPRINT-012,Reviewer,ISSUE-0109,,G0/G5/G6,EPIC-109-licenciamento-contribuicao-rights-manifests-e-citacao.md
EPIC-110,FND,BC-001,Governança de Engenharia e Entrega,governança contínua do backlog e decomposição de épicos em histórias implementáveis,SPRINT-001,Tech Lead,ISSUE-0110,,G0/G1,EPIC-110-governanca-continua-do-backlog-e-decomposicao-de-epicos-em-historias-i.md
